Assembly Center,Assembly Date,BoxA,BoxB,Qty Assembled,Vendor,,,Sum of Qty Assembled,Column Labels,,,,,,,,,,,,,,,,,,
Beohari,05-12-2015,1,1,40,,,,Row Labels,Beohari,Betul,Boriguma,Chotisarvan,Garhi,Ghatol,Igatpuri,Jaisinghnagar,Mawai,Mohgaon,Multai,Nabrangpur,Narayanganj,Peint,Pipalkhoont,Surgana,Trimbak,Umerkote,Grand Total
Pipalkhoont,01-12-2015,10,10,376,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,03-12-2015,11,11,424,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,12-12-2015,5,5,120,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,14-12-2015,8,8,278,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,15-12-2015,2,2,90,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,16-12-2015,4,4,170,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,17-12-2015,4,4,220,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,18-12-2015,1,1,97,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,12-01-2016,3,3,100,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,13-01-2016,7,7,280,G1,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,14-01-2016,3,3,100,G1,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,15-01-2016,6,6,220,G1,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,16-01-2016,8,8,320,G1,,,,,,,,,,,,,,,,,,,,,,
